N°,Fecha,Lugar,Actor o grupo social emisor,Institución y Cargo actor o grupo social emisor,Actor o grupo social Involucrado 1,Institución y Cargo actor o grupo social involucrado 1,Acontecimiento,Posición,Área,"Studio 5 – Studio 5 Noticias – Rubén Valdés Alvarado, Paola Reynaga (97.7)",Ondas del Huallaga – Noticiero Ondas del Huallaga - José Carlos Ponce de León(88.9),"Radio Noticias del Perú – Radio Noticias Huánuco Edición Central – Bequer Bejarano, Nuvith Condezo Celis, Juan Malpartida (102.5)","Primer Plano - RNP - Ítalo Guillermo, Silvia Salas (102.5)",Radio Nacional – Cuatro Suyos – Ronald Cáceres / Manuel Bejarano (100.9),Radio Sinaí - Opinión Libre - Jaime Herrera  Echevarria (90.1),Radio Rumba Perú - RTL Noticias - Koko Giles/ Juan Manuel (95.3),Radio Pulsar - El Informante - Miguel Angel Domínguez (100.5),Radio Llata - Punto de Encuentro - Carlos Chavez Firma(92.3),Radio Paraiso 96.9 - Aires de Tradición Andina - Hector Facundo Damazo,Panorama Cultural Oyonense - Maximo Samaniego - Radio Oyon (102.5),Noticiero Musical - Hector Facundo Damazo - Radio Sol - Oyon,Radio La Altura 7-9am,Radio UNHEVAL – Noticiero (96.1)
4878,2023-03-21,Ayacucho,Kenny Rosado Salazar,Corresponsal de Ondas del Huallaga,,,"Desde la provincia de Dos de mayo, mencionó que son muchos los docentes y estudiantes que deben pasar una odisea para llegar a sus destinos debido a que muchos caminos vecinales y carreteras están intransitables por el mal estado de las vías afectadas por las lluvias.",Gris,Clima,,1.0,,,,,,,,,,,,
4879,2023-03-21,Ayacucho,Mauro Quispe,Corresponsal de Ondas del Huallaga,Municipalidad Provincial de Pachitea,,"Desde la provincia de Pachitea, indicó que los regidores y gerentes de la Municipalidad Provincial de Pachitea poco o nada les interesa culminar los trabajos del estadio municipal que se encuentra abandonado; así mismo, señaló que se pone en los cargos importantes a gente que apoyaron en campaña, pero desconocen la realidad de la provincia.",Celeste,Gobierno Locales,,1.0,,,,,,,,,,,,
4880,2023-03-21,Ayacucho,Jaime Herrera,Periodista,Armando Cori,Gerente de Defensa Civil de la Municipalidad Provincial de Huánuco,"Informó que muchos asentamientos humanos representan un peligro para sus habitantes debido a que están ubicados en quebradas y zonas de alto riesgo, reveló el gerente de Defensa Civil de la Municipalidad Provincial de Huánuco, Armando Cori, quien resaltó el apoyo que viene realizando el sector privado a las personas damnificadas por el ciclón Yaku. “Es un aliado estratégico para nosotros en esta situación de emergencia, todo apoyo es bienvenido”, precisó.",Celeste,Inversión Privada,,,,,,1.0,,,,,,,,
4881,2023-03-21,Ayacucho,Jaime Herrera,Periodista,Orlando Santiago,Representante de las asociaciones de artesanos de Huánuco,"Mencionó que los emprendedores artesanos de Huánuco demandaron a la municipalidad habilitarles un espacio donde puedan vender sus productos permanentemente, debido a que la mayoría de ellos solo puede vender en las ferias que se realizan cada cierto tiempo, sostuvo Orlando Santiago, representante de las asociaciones de artesanos quien lamentó que las autoridades no se preocupen por este sector de microempresarios y que ninguna municipalidad implementó la Ley del Artesano que regula el desarrollo y la promoción de su trabajo.",Celeste,Economía,,,,,,1.0,,,,,,,,
4882,2023-03-21,Ayacucho,Jaime Herrera,Periodista,Saul Mautino,Miembro de la Empresa de trasportes ETTUR Seis,"Señaló que las diversas protestas y paros en el país que empezaron en diciembre del año pasado y que continúan en algunas regiones causaron pérdidas económicas en varios sectores como transporte. En tal sentido, mencionó que Saul Mautino, miembro de la Empresa de trasportes ETTUR Seis, refirió que la demanda turística disminuyó considerablemente y que cada vez que hacen huelga o paro los únicos perjudicados son los transportistas que incluso no tienen apoyo del Estado.",Celeste,Transporte,,,,,,1.0,,,,,,,,
4883,2023-03-21,Ayacucho,Jaime Herrera,Periodista,Defensoría del Pueblo,,"Informó que Defensoría del Pueblo destacó plan de acción 2023 de la comisión regional anticorrupción de Huánuco. En tal sentido, mencionó que según la procuraduría anticorrupción el 55% de los casos de corrupción registrados en Huánuco son por los delitos de colusión y peculado, siendo las municipalidades distritales y provinciales las entidades más afectadas.",Celeste,Corrupción,,,,,,1.0,,,,,,,,
4884,2023-03-21,Ayacucho,Jaime Herrera,Periodista,Contraloría General de la República,,"Mencionó que la Contraloría estima que en Huánuco el daño patrimonial por la corrupción en el 2021 ascendió a 360 millones de soles, siendo las provincias con mayor daño: Huánuco, Leoncio Prado, Ambo, Marañón, Dos de Mayo y Huamalíes.",Celeste,Corrupción,,,,,,1.0,,,,,,,,
4885,2023-03-21,Ayacucho,Jaime Herrera,Periodista,,,"Comentó que desde hace años viene escuchando que se terminará el proyecto de agua y desagüe de la provincia de Ambo, pero aún no se concluye gracias a los corruptos que continúan saqueando al Estado e impidieron el avance de la importante obra.",Celeste,Agua,,,,,,1.0,,,,,,,,
4886,2023-03-21,Ayacucho,David Enrique Carrión,Comentarista de Opinión Libre,Municipalidad Provincial de Huánuco,,"Señaló que cada alcalde que llegó a la Municipalidad Provincial de Huánuco no hizo nada en arreglar el transporte y tránsito de la ciudad de Huánuco, solo llegaron para robarse el dinero, y en caso quieran hacer algo, son amenazados o coaccionado por los grupos de sindicatos, entre ellos Construcción Civil.",Celeste,Transporte,,,,,,1.0,,,,,,,,
4887,2023-03-21,Ayacucho,José Kusunoki,Comentarista de Opinión Libre,Luis Picón,Exgobernador regional de Huánuco,"Mencionó que el proyecto de mejoramiento del sistema de agua potable de la provincia de Ambo tiene un costo de 61 millones de soles, de los cuales se ejecutó 47 millones; sin embargo, recordó que el presupuesto inicial del proyecto, durante la gestión del exgobernador Luis Picón, era de 21 millones, y desde hace más de 10 años la obra no se concluye.",Gris,Presupuesto,,,,,,1.0,,,,,,,,
4888,2023-03-21,Ayacucho,Nuvith Condezo Celis,Periodista,,,"Comentó que las organizaciones criminales como “Los Negociadores de la Región” no actúan solos y desde el momento en que empiezan a operar ya tienen un alto nivel de complicidad, y esto ya llegó al Poder Judicial de Huánuco, involucrando a jueces y magistrados, y esto explica los tantos actos de corrupción.",Celeste,Corrupción,,,1.0,,,,,,,,,,,
4889,2023-03-21,Ayacucho,Lady Villar,Miembro de Coalición Ciudadana de Huánuco,Oficina de Control de la Magistratura (OCMA),,"Mencionó que elevó su denuncia ante la OCMA contra los expresidentes de la Corte Superior de Justicia de Huánuco involucrados en actos de corrupción, porque se sabe que en Huánuco la mayoría se debe favores y ya va a ser un año que puso la denuncia en donde está adjuntando órdenes de servicio y ejecución de obras.",Celeste,Corrupción,,,1.0,,,,,,,,,,,
4890,2023-03-21,Ayacucho,Rubén Valdés,Periodista,Cámara de Comercio e Industrias de Huánuco,,Mencionó que mañana en la Cámara de Comercio e Industrias de Huánuco se desarrollará una mesa técnica entre ciudadanos de Huánuco y abordar el problema del agua y la planta de tratamiento.,Gris,Agua,1.0,,,,,,,,,,,,,
4891,2023-03-21,Ayacucho,Armando Cori,Gerente de Defensa Civil de la Municipalidad Provincial de Huánuco,,,"En declaraciones a la prensa, manifestó que hasta la fecha no se tiene reportes de desbordes o activación de quebradas, pese a la intensidad registradas en la ciudad de Huánuco donde muchas viviendas de adobe fueron afectadas, por lo que ya se están tomando acciones con Defensa Civil y maquinaria de la municipalidad en descolmatación.",Gris,Clima,1.0,,,,,,,,,,,,,
4892,2023-03-21,Ayacucho,Teófilo Huaynate,Gerente de la Beneficencia Pública de Huánuco,Municipalidad Provincial de Huánuco,,"En declaraciones a la prensa, manifestó que muchas infraestructuras están en peligro de colapso por las lluvias, por ejemplo, el cementerio el cual ya colapsó y encima no tiene presupuesto para su mantenimiento, en tal sentido, mencionó que se solicitó apoyo a la Municipalidad Provincial de Huánuco para el saneamiento del nuevo cementerio general ahora en La Esperanza. ",Gris,Infraestructura,1.0,,,,,,,,,,,,,
4893,2023-03-22,Ayacucho,José Ponce de León,Periodista,,,Informó que el presidente de EsSalud llegará a la ciudad de Huánuco para oficializar donación de terreno de propiedad de la familia Daier y con ello iniciar la construcción del hospital de EsSalud.,Gris,Salud,1.0,1.0,1.0,,,1.0,,1.0,,,,,,
4894,2023-03-22,Ayacucho,José Ponce de León,Periodista,,,Mencionó que decenas de padres de familia y docentes denunciaron que la institución educativa Santa Elena se encuentra inhabitable y a punto de derrumbarse.,Gris,Educación,1.0,1.0,1.0,,,1.0,,1.0,,,,,,
4895,2023-03-22,Ayacucho,José Ponce de León,Periodista,Tito Jaime,Gerente de Desarrollo Económico del Gobierno Regional de Huánuco,"Reveló que 50% de los planes de negocios de Procompite fueron negativos, informó el gerente de Desarrollo Económico del Gobierno Regional de Huánuco, Tito Jaime.",Gris,Economía,1.0,1.0,1.0,,,1.0,,1.0,,,,,,
4896,2023-03-22,Ayacucho,José Ponce de León,Periodista,,,"Informó que, en el distrito de Santa María del Valle, iniciaron trabajos en el terreno donde se construirá el futuro hospital de EsSalud.",Gris,Salud,1.0,1.0,1.0,,,1.0,,1.0,,,,,,
4897,2023-03-22,Ayacucho,Roger Hidalgo,Alcalde del distrito de Amarilis,Juan Alvarado Cornelio,Exgobernador regional de Huánuco,"Recordó que el exgobernador regional de Huánuco, Juan Alvarado Cornelio, revirtió 1500 millones de soles durante toda su gestión, lo cual para Huánuco significó un gran atraso en los últimos 3 años, y ello ocurrió por la falta de unidad y trabajo coordinado entre el gobierno regional y las municipalidades.",Celeste,Gobierno Regional,,1.0,,,,,,,,,,,,
4898,2023-03-22,Ayacucho,Américo Espejo Maita,Corresponsal de Ondas del Huallaga,Moroni Romero Jaramillo,Presidente del Frente de Defensa de los Intereses de la Provincia de Leoncio Prado,"Mencionó que el Frente de Defensa de los Intereses de la Provincia de Leoncio Prado, junto a su presidente Moroni Romero Jaramillo, realizaron un plantón en el centro poblado San Jorge donde se está construyendo una mega obra relacionado a la carretera transoceánica con gente foránea, por lo que exigieron que se dé trabajo a los lugareños.",Gris,Protesta,,1.0,,,,,,,,,,,,
4899,2023-03-22,Ayacucho,Jaime Herrera,Periodista,,,"Informó que heladas y lluvias azotan cultivos y colegios y viviendas en el distrito de Jacas Chico, provincia de Yarowilca.",Gris,Clima,,,,,,1.0,,,,,,,,
4900,2023-03-22,Ayacucho,Jaime Herrera,Periodista,Dirección Regional de Educación de Huánuco,,Mencionó que la Dirección Regional de Educación de Huánuco afirmó que el 75% de predios de colegios no tienen saneamiento legal. ,Gris,Educación,,,,,,1.0,,,,,,,,
4901,2023-03-22,Ayacucho,Jaime Herrera,Periodista,Tito Jaime,Gerente de Desarrollo Económico del Gobierno Regional de Huánuco,"Informó que, ante la ausencia de industrialización en la región de Huánuco, el gerente regional de Desarrollo Económico, Tito Jaime, manifestó que el Gobierno Regional tiene identificado 4 corredores económicos que ayudarán a gestionar la inversión privada, además sostuvo que los productores dueños de su empresa y que se están industrializando generan millones de soles de utilidades, ingreso para sus familias y al mismo tiempo ese escenario genera empleo, tecnificación, inversión e invita a que los privados se sumen.",Celeste,Inversión Privada,,,,,,1.0,,,,,,,,
4902,2023-03-22,Ayacucho,Jaime Herrera,Periodista,Gobierno Regional de Huánuco,,"Mencionó que la institución educativa de Santa Isabel lleva muchos años en precarias condiciones, por lo que los padres de familia reclamaron la reconstrucción de esta institución ubicada en el distrito de Santa María del Valle, pues a pesar de que ya está listo el proyecto para su remodelación y que fue elaborado por el Gobierno Regional de Huánuco, este aún se encuentra paralizado.",Celeste,Educación,,,,,,1.0,,,,,,,,
4903,2023-03-22,Ayacucho,Jaime Herrera,Periodista,Contraloría General de la República,,"Informó que la Contraloría General de la República alertó que la obra del estadio en Chaclla, ejecutado por la Municipalidad Provincial de Pachitea, se construye sin cumplir especificaciones técnicas; al respecto, espera que se sancione a los irresponsables de dicha comuna porque están creando un adefesio poniendo en perjuicio el deporte de la localidad.",Celeste,Infraestructura,,,,,,1.0,,,,,,,,
4904,2023-03-22,Ayacucho,Antonio Pulgar,Gobernador regional de Huánuco,,,"Informó que mañana arribará a la ciudad de Huánuco el presidente ejecutivo de EsSalud, Aurelio Orellana, para llevar adelante una importante obra de aproximadamente 500 millones de soles como es el hospital de EsSalud. Paralelo a ello, mencionó que se firmarán 3 convenios para brindar asistencia a la población de la región de Huánuco, y luego junto al presidente de EsSalud se trasladará a Tingo María para llevar adelante un nuevo hospital de 160 millones de soles.",Gris,Salud,,,,,,1.0,,,,,,,,
4905,2023-03-22,Ayacucho,Bequer Bejarano,Periodista,,,"Pidió a las autoridades, alcaldes y gobernador regional buscar financiamiento, porque Huánuco es una de las regiones más pobres del país y no se puede dar el lujo de continuar esperando la buena voluntad del presidente para que apoye con presupuesto y a partir de ello se ejecuten proyectos.",Gris,Presupuesto,,,1.0,,,,,,,,,,,
4906,2023-03-22,Ayacucho,Juan Malpartida,Periodista,Municipalidad Provincial de Huánuco,,Mencionó que la Municipalidad Provincial de Huánuco genera más de 100 empleos en limpieza del drenaje pluvial de la ciudad y de la quebrada de Las Moras.,Gris,Municipalidad,,,1.0,,,,,,,,,,,
4907,2023-03-22,Ayacucho,Carlos Fernández,Corresponsal de Radio Noticias del Perú,Antonio Pulgar,Gobernador regional de Huánuco,"Informó que la Dirección Regional de Gestión de Riesgo ante desastres estará realizando una conferencia de prensa sobre la puesta en marcha del sistema de alerta temprana ante desastres, el mismo que fue implementado por el gobernador regional de Huánuco, Antonio Pulgar.",Gris,Seguridad,,,1.0,,,,,,,,,,,
4908,2023-03-22,Ayacucho,Rubén Valdés,Periodista,,,"Informó que falleció Rosalino Flores tras haber recibido 36 perdigones por un policía durante las protestas, hecho que fue cuestionado por medios internacionales, principalmente la forma en cómo se reprimió las protestas sociales con armas letales.",Gris,Violencia,1.0,,,,,,,,,,,,,
4909,2023-03-22,Ayacucho,Pedro Japa Escobar,Presidente del asentamiento humano La Florida,,,"En declaraciones a la prensa, mencionó que hoy se desarrollará una mesa técnica entre dirigentes y población de la provincia de Huánuco que tiene por objetivo dar solución a los proyectos y planteamientos, uno de ellos es poner fin al saneamiento físico legal para que La Florida pueda contar con sus servicios básicos.",Gris,Sociedad,1.0,,,,,,,,,,,,,
4910,2023-03-22,Ayacucho,María Teresa Corcino,Economista,,,"Mencionó que las PYMES en el Perú representa el 99.5% de las empresas formales, y de ese porcentaje, el 95% son microempresas y abarca también a los emprendedores; en tal sentido, y en el caso de Huánuco, este sector de las PYMES, hasta el 2021, se tenía alrededor de 18 mil microempresas debidamente constituidas y que generaban el 78% del empleo de la población; sin embargo, señaló que un gran porcentaje de estos microempresarios, hasta antes de la pandemia, tenían poco acceso o temor al sistema financiero por el tema de los requisitos.",Gris,Economía,1.0,,,,,,,,,,,,,
4911,2023-03-23,Ayacucho,José Ponce de León,Periodista,Juan Alvarado Cornelio,Exgobernador regional de Huánuco,"Informó que el exgobernador regional de Huánuco, Juan Alvarado Cornelio, fue capturado en Nuevo Chimbote, región Ancash, a 3 días de cumplirse un año de estar prófugo luego que un 25 de marzo del 2022 se dispusiera en su contra prisión preventiva de 18 meses por el “Caso Laptops”.",Celeste,Judicial,1.0,1.0,,,,1.0,,1.0,,,,,,
4912,2023-03-23,Ayacucho,José Ponce de León,Periodista,Gobierno Regional de Huánuco,,"Mencionó que el 24% de los hogares en Huánuco consume agua sin tratamiento, según balance situacional elaborado por el Gobierno Regional de Huánuco.",Gris,Agua,1.0,1.0,,,,1.0,,1.0,,,,,,
4913,2023-03-23,Ayacucho,José Ponce de León,Periodista,Sindicato Regional de Construcción Civil de Huánuco,,Reveló que el Sindicato Regional de Construcción Civil de Huánuco se habría apoderado de todas las obras de Huánuco.,Gris,Infraestructura,1.0,1.0,,,,1.0,,1.0,,,,,,
4914,2023-03-23,Ayacucho,José Ponce de León,Periodista,Congreso de la República,,"Mencionó que el Congreso de la República aprobó acusar constitucionalmente a Betsy Chávez y exministro del Interior, Willy Huerta.",Gris,Judicial,1.0,1.0,,,,1.0,,1.0,,,,,,
4915,2023-03-23,Ayacucho,José Ponce de León,Periodista,Gobierno Regional de Huánuco,,Reveló que el Gobierno Regional de Huánuco construirá 6 pozos tubulares para mejorar abastecimiento de agua potable.,Gris,Gobierno Regional,,1.0,,,,1.0,,1.0,,,,,,
4916,2023-03-23,Ayacucho,José Ponce de León,Periodista,Ministerio de Economía y Finanzas,,"Informó que el Ministerio de Economía y Finanzas está observando proyectos de inversión privada para Huánuco: la central Pachitea, central Parkoi, central Santa Marta, central Huallaga 3, central Huerta, central Sungaro Yaku, hospital oncológico y teleférico de Huánuco.",Gris,Infraestructura,,1.0,,,,,,,,,,,,
4917,2023-03-23,Ayacucho,Mauro Quispe,Corresponsal de Ondas del Huallaga,Juan Alvarado Cornelio,Exgobernador regional de Huánuco,"Desde la provincia de Pachitea, mencionó que la captura del exgobernador Juan Alvarado Cornelio debe hacer reflexionar a la población para que no vuelva a repetirse este tipo de escenarios que ocurren por la misma gente al no saber elegir.",Celeste,Sociedad,,1.0,,,,,,,,,,,,
4918,2023-03-23,Ayacucho,Jhimmy Jesús Bernuy Pimentel,Director de la Red Asistencial Huánuco,,,"Manifestó que gracias a la donación del terreno por parte de la familia Dyer, el futuro hospital de EsSalud en Huánuco será una realidad, por lo que agradeció a la familia, también al gobernador regional de Huánuco y al alcalde de Santa María del Valle por este logro en favor de los asegurados.",Celeste,Salud,,1.0,,,,,,,,,,,,
4919,2023-03-23,Ayacucho,Tito Jaime Hidalgo,Gerente de Desarrollo Económico del Gobierno Regional de Huánuco,,,"Mencionó que se está trabajando para empezar este año proyectos regionales en los principales cultivos y actividades económicas de Huánuco. Así mismo, mencionó que se está trabajando para fortalecer la industria a través de 4 corredores económicos: el corredor altoandino, el corredor Huánuco - Ambo - Pachitea, el corredor Alto Huallaga y el corredor Puerto Inca.",Gris,Economía,,1.0,,,,,,,,,,,,
4920,2023-03-23,Ayacucho,Jaime Herrera,Periodista,Juan Alvarado Cornelio,Exgobernador regional de Huánuco,"Comentó que la policía probablemente conocía desde el año pasado el paradero del exgobernador Juan Alvarado Cornelio, pero como en el poder estaba Pedro Castillo, y viendo como él corrompió a altos oficiales y generales de la policía, esto le fue favorable al hoy capturado exgobernador regional de Huánuco.",Celeste,Corrupción,,,,,,1.0,,,,,,,,
4921,2023-03-23,Ayacucho,Jaime Herrera,Periodista,Ministerio de Economía y Finanzas,,"Informó que priorizarán la construcción del hospital oncológico y teleféricos turísticos con apoyo del sector privado en Huánuco; al respecto, indicó que se espera que el Ministerio de Economía y Finanzas los apruebe para determinar si se ejecutan mediante Obras por Impuestos o Asociación Público-Privada. Adicionalmente, recordó que en el año 2021 el Gobierno Regional de Huánuco gestionaba una cartera de 8 proyectos que serían financiados por empresas privadas, cartera que representa una inversión de más de 2 mil 500 millones de soles, pero todo quedó en ideas pues el Ministerio de Economía no los aprobó.",Celeste,Inversión Privada,,,,,,1.0,,,,,,,,
4922,2023-03-23,Ayacucho,Jaime Herrera,Periodista,Samuel Dyer,Empresario,"Mencionó que, gracias a la donación del empresario huanuqueño Samuel Dyer, el nuevo hospital de EsSalud será una realidad, obra que en la que se invertirá 500 millones de soles y beneficiará a más de 180 mil asegurados de Huánuco.",Celeste,Inversión Privada,,,,,,1.0,,,,,,,,
4923,2023-03-23,Ayacucho,Jaime Herrera,Periodista,,,"Comentó que en otras regiones las municipalidades se desprenden de sus terrenos para entregarlos a la construcción de un bien común, pero en Huánuco sucede todo lo contrario, y eso se refleja en el Colegio de Alto Rendimiento que por años no tiene un terreno propio para la construcción de su infraestructura, y a nadie le interesa, ni al sector privado o al Estado.",Celeste,Infraestructura,,,,,,1.0,,,,,,,,
4924,2023-03-23,Ayacucho,José Ángel Mendoza Huerta,Director regional de Energía y Minas de Huánuco,Dirección Regional de Energía y Minas de Huánuco,,"Mencionó que la minería ilegal continúa operando en la provincia de Puerto Inca donde tranquilamente extraen los minerales del río y la zona de Chonta Isla, mientras que en el área de Macuya la empresa CEPSA extrae petróleo sin aportar ningún beneficio a dicha localidad. Recordó que algunos consejeros regionales querían que su persona salga de la Dirección Regional de Energía y Minas de Huánuco a cambio de un kilo de oro, lo cual denunció en su momento.",Celeste,Minería ilegal,,,,,,1.0,,,,,,,,
4925,2023-03-23,Ayacucho,Antonio Pulgar,Gobernador regional de Huánuco,Aurelio Orellana,Presidente ejecutivo de EsSalud,"Informó que mañana llegará el presidente ejecutivo de EsSalud, Aurelio Orellana, a la ciudad de Huánuco con la resolución que oficializa la donación del terreno y luego se procederá al estudio del perfil técnico y con ello la construcción del hospital que bordeará los 500 millones de soles. Sobre la captura de Juan Alvarado Cornelio, indicó que esto es un tema que se debe dejar a los que abordan con seriedad en el Ministerio Público y Poder Judicial para ver el grado de responsabilidad.",Gris,Gobierno Regional,,,,,,1.0,,,,,,,,
4926,2023-03-23,Ayacucho,Rubén Valdés,Periodista,,,Comentó que Huánuco tiene una amplia cantidad de profesionales a quienes no se les llama para solucionar los principales problemas de la región donde las autoridades prefieren estar más al lado de la propaganda.,Gris,Sociedad,1.0,,,,,,,,,,,,,
4927,2023-03-23,Ayacucho,Pier Paolo Marzo,Abogado,Juan Alvarado Cornelio,Exgobernador regional de Huánuco,"Sobre la captura de Juan Alvarado Cornelio, señaló que esta es la conclusión de un exgobernador que fue elegido para sacar adelante una región, pero por el contrario prefirió hacer negocios con sus familiares utilizando el Gobierno Regional de Huánuco, dirigiendo obras públicas a municipalidades a cambio de dinero y con apoyo de algunas empresas de construcción que pagaban coimas, situación que generó una fractura en el gobierno regional y de la que es responsable la población al poner en altos cargos a gente vinculada a la corrupción.",Celeste,Corrupción,1.0,,,,,,,,,,,,,
4928,2023-03-23,Ayacucho,Miguel Ángel Domínguez,Periodista,Municipalidad Provincial de Ambo,,"Informó que en el distrito de Cayna, provincia de Ambo, se desarrolló el Presupuesto Participativo basado en resultados 2024 y para este 5 de abril se programó esta actividad en la Municipalidad Provincial de Ambo.",Gris,Presupuesto,,,,,,,,1.0,,,,,,
4929,2023-03-23,Ayacucho,Antonio Ochoa Malpartida,Alcalde del distrito de Cayna,,,"Mencionó que en el distrito de Cayna se están presentando constantes lluvias, pero todo está listo con el plan de contingencia para de alguna contrarrestar las inclemencias del tiempo, porque la naturaleza no avisa. Por otro lado, informó que se está trabajando en el saneamiento de instituciones educativas, la construcción de canales de regadío y en la protección de las cabeceras de cuenca.",Gris,Clima,,,,,,,,1.0,,,,,,
4930,2023-03-24,Ayacucho,José Ponce de León,Periodista,Juan Alvarado Cornelio,Exgobernador regional de Huánuco,"Informó que el exgobernador regional de Huánuco, Juan Alvarado Cornelio, será internado en el penal de Potracancha donde cumplirá 18 meses de prisión preventiva por el “Caso Laptops”. ",Celeste,Judicial,1.0,1.0,1.0,,,1.0,,1.0,,,,,,
4931,2023-03-24,Ayacucho,José Ponce de León,Periodista,,,Mencionó que escolares de la institución educativa La Despensa recibieron sus clases en forma intercalada porque tienen un solo docente.,Gris,Educación,1.0,1.0,1.0,,,1.0,,,,,,,,
4932,2023-03-24,Ayacucho,José Ponce de León,Periodista,Gobierno Regional de Huánuco,,Reveló que 15 obras del Gobierno Regional de Huánuco se encuentran paralizadas por actos de corrupción y serían reanudadas el próximo mes.,Celeste,Infraestructura,1.0,1.0,,,,1.0,,,,,,,,
4933,2023-03-24,Ayacucho,José Ponce de León,Periodista,,,"Informó que institución educativa en Cauri está infestado de murciélagos y roedores, y por ello los padres de familia temen que sus hijos sean atacados o contraigan una enfermedad.",Gris,Educación,,1.0,,,,,,,,,,,,
4934,2023-03-24,Ayacucho,José Ponce de León,Periodista,Antonio Pulgar,Gobernador regional de Huánuco,"Mencionó que el gobernador regional de Huánuco, Antonio Pulgar, negó injerencia de sus familiares en su gestión pese a que su hijo se pasea por el Gobierno Regional de Huánuco.",Gris,Gobierno Regional,1.0,1.0,,,,1.0,,,,,,,,
4935,2023-03-24,Ayacucho,José Ponce de León,Periodista,Gobierno Regional de Huánuco,,"Reveló que el Gobierno Regional de Huánuco llevará frazadas, toldos, carpas y demás recursos para socorrer a los pobladores damnificados por las lluvias torrenciales y el derrumbe del cerro del centro poblado Loma Colorada, en el distrito Panao, provincia de Pachitea.",Gris,Seguridad,,1.0,,,,1.0,,,,,,,,
4936,2023-03-24,Ayacucho,José Ponce de León,Periodista,Antonio Pulgar,Gobernador regional de Huánuco,"Informó que el gobernador regional de Huánuco, Antonio Pulgar, sobre la captura de Juan Alvarado Cornelio, manifestó que en su gestión se dispuso medidas de control y que se dará todas las facilidades a la fiscalía anticorrupción que investiga los casos emblemáticos por corrupción pública.",Celeste,Judicial,,1.0,,,,1.0,,,,,,,,
4937,2023-03-24,Ayacucho,José Ponce de León,Periodista,Amancio del Águila,Exconsejero regional de Huánuco,"Mencionó que el exconsejero regional de Huánuco, Amancio del Águila, sostuvo que la corrupción no acabará con la captura de Juan Alvarado Cornelio.",Gris,Corrupción,,1.0,,,,1.0,,,,,,,,
4938,2023-03-24,Ayacucho,José Ponce de León,Periodista,Juan Alvarado Cornelio,Exgobernador regional de Huánuco,"Comentó que la hija de Juan Alvarado Cornelio, Inés Alvarado, señaló que su padre pecó de ingenuo en muchas cosas.",Gris,Corrupción,,1.0,,,,1.0,,,,,,,,
4939,2023-03-24,Ayacucho,José Ponce de León,Periodista,Américo Cárdenas,Exconsejero regional de Huánuco,"Mencionó que el exconsejero regional de Huánuco, Américo Cárdenas, señaló que no le alegra la detención del exgobernador Juan Alvarado Cornelio.",Gris,Corrupción,,1.0,,,,1.0,,,,,,,,
4940,2023-03-24,Ayacucho,José Ponce de León,Periodista,Juan Alvarado Cornelio,Exgobernador regional de Huánuco,"Señaló que el “Caso Laptops” es el primero de una larga lista de casos de los que tendrá que responder el ahora capturado exgobernador regional de Huánuco, Juan Alvarado Cornelio, y muchos funcionarios más quienes hicieron del gobierno regional su chacra.",Celeste,Corrupción,,1.0,,,,,,,,,,,,
4941,2023-03-24,Ayacucho,Pedro Lomas Saavedra,Corresponsal de Ondas del Huallaga,,,"Desde la provincia de Pachitea, informó que ayer las viviendas de 3 familias quedaron perjudicadas en el caserío de Purupampa, precisamente en la zona denominada Loma Colorada, tras las lluvias registradas en el lugar que generaron luego un deslizamiento.",Gris,Clima,,1.0,,,,,,,,,,,,
4942,2023-03-24,Ayacucho,Rosas Augusto Tacuche Mariño,Alcalde del distrito de San Miguel de Cauri,,,"Mencionó que en la primera semana de inicio del año escolar se visitó un 70% de las instituciones educativas en el distrito de San Miguel de Cauri, algunas de ellas fueron declaradas en emergencia por su antigua infraestructura, por lo que se pidió apoyo al gobierno regional. Recordó que hay un paquete desde la gestión anterior de expedientes técnicos para todas las instituciones educativas de Cauri, pero a la fecha aún no se viabilizaron, solo están en la primera etapa, tema en el que se requiere con urgencia la intervención del gobierno regional.",Celeste,Educación,,1.0,,,,,,,,,,,,
4943,2023-03-24,Ayacucho,Jaime Herrera,Periodista,Antonio Ochoa Malpartida,Alcalde del distrito de Cayna,"Informó que el alcalde del distrito de Cayna, Antonio Ochoa Malpartida, anunció actividades por los 152 años de creación política del distrito e hizo una invitación a toda la población a participar de juegos alegóricos, concursos tradicionales y la elección de la miss Cayna.",Gris,Cultura,,,,,,1.0,,,,,,,,
4944,2023-03-24,Ayacucho,Jaime Herrera,Periodista,Ministerio de Economía y Finanzas,,"Mencionó que en Perú no hay una cultura de prevención ante desastres naturales; en esa línea, indicó que, a raíz de las lluvias, en la región Huánuco se perjudicaron viviendas, colegios y cultivos debido a que las autoridades no invierten en prevención a pesar de tener el presupuesto. Así mismo, señaló que el año pasado se brindó cerca de 2 mil 200 millones de soles por parte del Ministerio de Economía y Finanzas a los gobiernos regionales para tratar temas de prevención de desastres ocasionados por fenómenos naturales, pero no se ejecutaron de forma adecuada. Al respecto, mencionó que para el director ejecutivo de Videnza Instituto, Luis Miguel Castilla, la mala gestión para administrar estos recursos es responsabilidad de los 3 niveles del gobierno.",Celeste,Seguridad,,,,,,1.0,,,,,,,,
