N°,Fecha,Lugar,Actor o grupo social emisor,Institución y Cargo actor o grupo social emisor,Actor o grupo social Involucrado 1,Institución y Cargo actor o grupo social involucrado 1,Acontecimiento,Posición,Área,"Studio 5 – Studio 5 Noticias – Rubén Valdés Alvarado, Paola Reynaga (97.7)",Ondas del Huallaga – Noticiero Ondas del Huallaga - José Carlos Ponce de León(88.9),"Radio Noticias del Perú – Radio Noticias Huánuco Edición Central – Bequer Bejarano, Nuvith Condezo Celis, Juan Malpartida (102.5)","Primer Plano - RNP - Ítalo Guillermo, Silvia Salas (102.5)",Radio Nacional – Cuatro Suyos – Ronald Cáceres / Manuel Bejarano (100.9),Radio Sinaí - Opinión Libre - Jaime Herrera  Echevarria (90.1),Radio Rumba Perú - RTL Noticias - Koko Giles/ Juan Manuel (95.3),Radio Pulsar - El Informante - Miguel Angel Domínguez (100.5),Radio Llata - Punto de Encuentro - Carlos Chavez Firma(92.3),Radio Paraiso 96.9 - Aires de Tradición Andina - Hector Facundo Damazo,Panorama Cultural Oyonense - Maximo Samaniego - Radio Oyon (102.5),Noticiero Musical - Hector Facundo Damazo - Radio Sol - Oyon,Radio La Altura 7-9am,Radio UNHEVAL – Noticiero (96.1)
5365,2023-04-24,Ayacucho,Jaime Herrera,Periodista,Gobierno Regional de Huánuco,,"Comentó que la provincia de Puerto Inca está abandonada a su suerte, en el lugar no hay reuniones de los consejeros, o alguna reunión descentralizada por parte del Gobierno Regional de Huánuco que no da la debida importancia a una provincia que no cuenta con agua y desagüe o buenas carreteras.",Celeste,Gobierno Regional,,,,,,1.0,,,,,,,,
5366,2023-04-24,Ayacucho,José Ángel Mendoza Huerta,Exdirector regional de Energía y Minas de Huánuco,Ministerio de Energía y Minas,,"Comentó que el asunto de las concesiones mineras en la provincia de Leoncio Prado es fácil de resolver porque está normado en el Ministerio de Energía y Minas que no puede haber actividades mineras en zona agrícola, ganadera y urbana. En el caso particular del distrito de Hermilio Valdizán, recordó que, durante su gestión, se enfrentó a la empresa minera canadiense Hannan Metals que estaban realizando trabajos de exploración en cabecera de cuenca, lo cual está prohibido.",Gris,Minería,,,,,,1.0,,,,,,,,
5367,2023-04-24,Ayacucho,Jorge Burgos,Dirigente de la provincia de Puerto Inca,"Instituto Geológico, Minero y Metalúrgico (INGEMMET)",,"Comentó que toda la Cordillera Azul al frente a Puerta Inca, que limita con Codo del Pozuzo y que nace en Quillabamba, toda esa zona está con petitorios, lo cual aparentemente desconoce la INGEMMET y la Dirección Regional de Energía y Minas de Huánuco, además se desconoce qué rumbo tomará todo esto.",Gris,Minería,,,,,,1.0,,,,,,,,
5368,2023-04-24,Ayacucho,Daniel Mayo Falcón,Periodista,Defensoría del Pueblo,,Informó que la Defensoría del Pueblo advirtió la falta de medicamentos en la Red de Salud de Leoncio Prado.,Gris,Salud,1.0,,,,,,,,,,,,,
5369,2023-04-24,Ayacucho,Rodolfo Espinoza,Decano del Colegio de Abogados de Huánuco,Antonio Pulgar,Gobernador regional de Huánuco,"Mencionó que el gobernador regional de Huánuco, Antonio Pulgar, a 100 días de gestión, debe empezar a preocuparse en ejecutar sus planes y propuestas que planteó, aprovechando la suerte de inversión a gran escala del Gobierno Central: “Ya no estamos en una etapa de propuestas o en la campaña, lo que la gente quiere a estas alturas es acción, y la acción se ve con obras concretas fruto de la gestión y ejecución del nuevo gobierno (…) el éxito de una gestión no depende de una sola persona, esta debe tener sus gerencias muy adecuados para llevar una buena gestión, y no lo que estamos viendo ahora”, precisó.",Celeste,Gobierno Regional,1.0,,,,,,,,,,,,,
5370,2023-04-24,Ayacucho,Miguel Ángel Domínguez,Periodista,Antonio Pulgar,Gobernador regional de Huánuco,"Mencionó que hoy el gobernador regional de Huánuco, Antonio Pulgar, presentará su informe de 100 días de gestión en las instalaciones del Coliseo 15 de Agosto.",Gris,Gobierno Regional,,,,,,,,1.0,,,,,,
5371,2023-04-24,Ayacucho,Miguel Ángel Domínguez,Periodista,,,"Comentó que, en la provincia de Ambo, el último fin de semana se llevó a cabo la actividad de “Saberes productivos”, a cargo del Centro de Integración de Atención al Adulto Mayor (CIAM) y el programa Pensión 65.",Gris,Programa social,,,,,,,,1.0,,,,,,
5372,2023-04-24,Ayacucho,Miguel Ángel Domínguez,Periodista,,,Informó que el presidente de la comunidad del distrito de San Miguel de Cauri buscará alianza con empresa minera.,Celeste,Minería,,,,,,,,1.0,,,,,,
5373,2023-04-24,Ayacucho,Miguel Ángel Domínguez,Periodista,,,"Mencionó que más de 50 familias serán beneficiadas con proyecto de siembra y cosecha de agua en la comunidad de Paracsha, provincia de Lauricocha.",Gris,Agropecuario,,,,,,,,1.0,,,,,,
5374,2023-04-24,Ayacucho,Miguel Ángel Domínguez,Periodista,Ylinch Naya Cruz,Presidente de la Cámara de Turismo de Oyón,"Informó que el presidente de la Cámara de Turismo de Oyón, Ylinch Naya Cruz, dio a conocer que se inició el trabajo de formalización para las empresas dedicadas al rubro turístico, siendo los restaurantes y hoteles del distrito de Oyón y el nevado de Raura los primeros negocios en registrarse en el directorio nacional de prestadores de servicios turísticos.",Gris,Turismo,,,,,,1.0,,1.0,,,,,,
